date,capacity,turnover,high,low,close,change,transaction_volume,stock_code_id,open
2018-01-02,6669850,187956859,28.4,28.05,28.2,0.0,2492,1102,28.3
2018-01-03,7117653,201210179,28.4,28.1,28.4,0.2,2307,1102,28.3
2018-01-04,7671186,219742793,28.9,28.4,28.6,0.2,3790,1102,28.5
2018-01-05,9413406,273920631,29.35,28.75,29.35,0.75,3769,1102,28.75
2018-01-08,12023731,361838875,30.35,29.45,30.3,0.95,4533,1102,29.45
2018-01-09,10849954,330543070,30.7,30.05,30.4,0.1,4839,1102,30.35
2018-01-10,6867231,208682755,30.7,30.15,30.5,0.1,3829,1102,30.5
2018-01-11,12804073,380023423,30.5,29.35,29.4,-1.1,4486,1102,30.5
2018-01-12,9906420,297858540,30.4,29.85,30.0,0.6,4989,1102,29.9
2018-01-15,6430837,194943732,30.4,30.1,30.4,0.4,3448,1102,30.3
2018-01-16,6055135,183715321,30.6,30.1,30.45,0.05,2590,1102,30.6
2018-01-17,8100450,248606608,30.95,30.25,30.9,0.45,3385,1102,30.45
2018-01-18,3818598,117607243,30.95,30.6,30.75,-0.15,1869,1102,30.95
2018-01-19,3629984,110536287,30.75,30.3,30.5,-0.25,1534,1102,30.75
2018-01-22,5313135,159612060,30.35,29.8,30.25,-0.25,2593,1102,30.15
2018-01-23,3835188,115141690,30.3,29.85,30.2,-0.05,1769,1102,30.25
2018-01-24,3211234,96219720,30.2,29.85,30.0,-0.2,1313,1102,30.2
2018-01-25,3502359,105436322,30.3,29.95,30.2,0.2,2109,1102,30.0
2018-01-26,4762638,144094904,30.5,30.0,30.3,0.1,2005,1102,30.15
2018-01-29,2627955,79236364,30.45,30.0,30.15,-0.15,1773,1102,30.3
2018-01-30,3531034,106158995,30.4,29.75,29.75,-0.4,1845,1102,30.1
2018-01-31,5133744,153286235,30.3,29.5,30.05,0.3,2252,1102,29.7
2018-02-01,3427473,102802490,30.3,29.85,30.0,-0.05,2000,1102,29.85
2018-02-02,3916251,116046543,29.85,29.45,29.5,-0.5,2203,1102,29.7
2018-02-05,4698829,137115698,29.5,29.0,29.1,-0.4,1768,1102,29.45
2018-02-06,12675502,349082519,28.35,27.0,27.2,-1.9,5480,1102,28.2
2018-02-07,7129683,198927789,28.4,27.4,27.4,0.2,3068,1102,27.8
2018-02-08,2399961,66575408,27.95,27.5,27.7,0.3,1435,1102,27.5
2018-02-09,5682182,153652186,27.35,26.7,27.1,-0.6,2575,1102,27.1
2018-02-12,4044450,110220341,27.45,27.1,27.25,0.15,1753,1102,27.35
2018-02-21,5059399,142657534,28.4,27.8,28.35,1.1,2420,1102,27.9
2018-02-22,3031622,85054090,28.25,27.8,28.25,-0.1,1514,1102,28.25
2018-02-23,3016257,85445419,28.45,28.2,28.4,0.15,1351,1102,28.3
2018-02-26,4833866,137098883,28.5,28.2,28.35,-0.05,2490,1102,28.4
2018-02-27,6889240,194729735,28.75,28.0,28.4,0.05,2357,1102,28.5
2018-03-01,4532074,127161632,28.3,27.8,28.2,-0.2,2200,1102,27.8
