date,capacity,turnover,high,low,close,change,transaction_volume,stock_code_id,open
2022-01-03,3524973,155497079,44.45,43.85,44.0,-0.3,1921,1102,44.4
2022-01-04,3798003,166123581,44.0,43.6,43.8,-0.2,2552,1102,44.0
2022-01-05,2566459,112384533,44.0,43.5,43.9,0.1,1532,1102,43.6
2022-01-06,2950572,129706558,44.1,43.7,44.1,0.2,2049,1102,43.8
2022-01-07,3238055,143054677,44.35,44.0,44.3,0.2,1726,1102,44.1
2022-01-10,1824078,80719698,44.4,44.15,44.3,0.0,1245,1102,44.35
2022-01-11,4154220,183860980,44.35,44.15,44.35,0.05,2289,1102,44.2
2022-01-12,2581294,114360570,44.4,44.2,44.4,0.05,2090,1102,44.35
2022-01-13,4314762,191842228,44.7,44.3,44.4,0.0,3099,1102,44.4
2022-01-14,3754494,166881465,44.6,44.2,44.6,0.2,2340,1102,44.45
2022-01-17,2398946,106510799,44.6,44.3,44.4,-0.2,2283,1102,44.45
2022-01-18,3924460,174907363,44.7,44.45,44.55,0.15,2873,1102,44.6
2022-01-19,3832694,170179245,44.6,44.25,44.4,-0.15,3821,1102,44.55
2022-01-20,2959545,134827758,44.5,44.3,44.35,-0.05,1353,1102,44.35
2022-01-21,4371418,193901540,44.6,44.2,44.5,0.15,2255,1102,44.35
2022-01-24,4260401,189439303,44.65,44.15,44.65,0.15,2590,1102,44.3
2022-01-25,6541743,288015887,44.25,43.9,44.15,-0.5,6776,1102,44.05
2022-01-26,3315819,146708264,44.4,44.15,44.2,0.05,2985,1102,44.15
2022-02-07,8305193,369779414,44.8,43.95,44.8,0.6,4263,1102,44.0
2022-02-08,4958189,222294169,45.05,44.65,44.75,-0.05,4236,1102,44.85
2022-02-09,5497952,247413911,45.2,44.75,45.2,0.45,3966,1102,44.85
2022-02-10,4431990,200141361,45.3,45.0,45.3,0.1,2875,1102,45.25
2022-02-11,5153528,233923357,45.5,45.2,45.5,0.2,2420,1102,45.3
2022-02-14,3524953,159298553,45.3,44.9,45.3,-0.2,2357,1102,45.25
2022-02-15,4546497,205348738,45.3,45.0,45.0,-0.3,2907,1102,45.2
2022-02-16,3064971,138870147,45.4,45.2,45.4,0.4,2008,1102,45.2
2022-02-17,3915589,178678042,45.75,45.4,45.7,0.3,3000,1102,45.45
2022-02-18,2555938,116659229,45.8,45.4,45.75,0.05,1961,1102,45.55
2022-02-21,4160024,190030281,45.95,45.2,45.95,0.2,2458,1102,45.5
2022-02-22,4673354,213297789,45.95,45.45,45.75,-0.2,3730,1102,45.8
2022-02-23,3418274,156659600,46.0,45.65,45.9,0.15,2420,1102,45.7
2022-02-24,6612247,300703805,45.8,45.25,45.55,-0.35,4306,1102,45.7
2022-02-25,8371609,378313346,45.5,45.05,45.1,-0.45,4284,1102,45.5
2022-03-01,6436536,296083796,46.2,45.7,46.1,1.0,3534,1102,45.9
2022-03-02,3101302,142776872,46.2,45.8,46.2,0.1,1775,1102,46.05
2022-03-03,3055537,141050124,46.3,46.05,46.2,0.0,2060,1102,46.25
2022-03-04,2960837,135849591,46.15,45.65,46.0,-0.2,2849,1102,46.0
2022-03-07,6113384,276754781,45.7,45.05,45.5,-0.5,5264,1102,45.4
2022-03-08,8022261,360029192,45.25,44.6,44.85,-0.65,4006,1102,45.0
2022-03-09,7187941,329221333,46.1,45.5,45.95,1.1,3592,1102,45.55
2022-03-10,6285856,291342238,46.5,46.15,46.45,0.5,2981,1102,46.2
2022-03-11,5317679,247712733,46.7,46.3,46.7,0.25,2702,1102,46.45
2022-03-14,5694070,267975081,47.2,46.8,47.2,0.5,3204,1102,46.8
2022-03-15,7798472,366927287,47.3,46.8,47.3,0.1,4010,1102,47.2
2022-03-16,5789190,274043561,47.6,47.0,47.6,0.3,3476,1102,47.3
2022-03-17,9407598,450752198,48.15,47.7,48.0,0.4,4399,1102,47.95
2022-03-18,11671801,559675414,48.2,47.85,47.9,-0.1,3093,1102,48.05
2022-03-21,5578280,268317016,48.25,47.5,48.25,0.35,2957,1102,47.8
2022-03-22,4829078,232643177,48.5,48.0,48.3,0.05,2831,1102,48.4
2022-03-23,5363814,257890668,48.3,48.0,48.1,-0.2,2656,1102,48.3
2022-03-24,4205415,202949335,48.45,47.9,48.45,0.35,2418,1102,48.0
2022-03-25,3121842,150408993,48.4,48.0,48.25,-0.2,1997,1102,48.3
2022-03-28,3948114,189624450,48.25,47.8,48.1,-0.15,2706,1102,48.05
2022-03-29,4018072,194364846,48.5,48.05,48.4,0.3,2031,1102,48.1
2022-03-30,4105135,198901642,48.5,48.35,48.5,0.1,2511,1102,48.45
2022-03-31,5016464,243618534,48.7,48.3,48.6,0.1,2099,1102,48.4
2022-04-01,5628349,270522970,48.4,47.9,48.0,-0.6,3213,1102,48.35
2022-04-06,5948706,286148613,48.45,47.7,48.45,0.45,2945,1102,48.0
2022-04-07,5343015,256843437,48.3,47.8,47.95,-0.5,3049,1102,48.0
2022-04-08,3362374,161045137,48.0,47.8,47.8,-0.15,2308,1102,47.95
2022-04-11,4873615,232315061,48.05,47.4,47.6,-0.2,2818,1102,47.85
2022-04-12,6082487,288622645,47.8,47.2,47.2,-0.4,2887,1102,47.6
2022-04-13,4593680,217564473,47.75,47.1,47.5,0.3,3767,1102,47.3
2022-04-14,3584917,169565844,47.45,47.15,47.2,-0.3,2377,1102,47.4
2022-04-15,3989298,187001660,47.2,46.7,46.9,-0.3,3164,1102,47.0
2022-04-18,5116156,237898073,46.65,46.3,46.55,-0.35,3590,1102,46.6
2022-04-19,4067794,190598436,47.0,46.55,46.95,0.4,2731,1102,46.55
2022-04-20,5550669,261699237,47.35,46.85,47.35,0.4,3395,1102,47.0
2022-04-21,7283048,347515671,48.0,47.3,47.7,0.35,5571,1102,47.5
2022-04-22,3872097,183310847,47.6,47.1,47.55,-0.15,2602,1102,47.6
2022-04-25,7491901,351307267,47.05,46.75,46.9,-0.65,2642,1102,46.95
2022-04-26,2953905,139322959,47.45,46.85,47.2,0.3,2284,1102,46.85
2022-04-27,6218454,292130602,47.3,46.55,47.1,-0.1,2787,1102,46.75
2022-04-28,8842096,421138511,48.0,47.1,48.0,0.9,5601,1102,47.1
2022-04-29,6140712,294867151,48.15,47.7,48.1,0.1,3225,1102,47.85
2022-05-03,2510233,119420496,48.0,47.4,47.5,-0.6,2207,1102,48.0
2022-05-04,2809027,132992900,47.6,47.15,47.45,-0.05,1675,1102,47.55
2022-05-05,2502987,118740790,47.6,47.3,47.45,0.0,2303,1102,47.45
2022-05-06,4687079,220356577,47.45,46.75,47.2,-0.25,2567,1102,47.0
2022-05-09,3969188,184421594,46.9,46.3,46.3,-0.9,2579,1102,46.5
2022-05-10,4024459,185253556,46.2,45.65,46.15,-0.15,2728,1102,45.95
2022-05-11,5373713,244662894,45.9,45.3,45.3,-0.85,3179,1102,45.75
2022-05-12,6126260,273308438,45.05,44.25,44.4,-0.9,4441,1102,44.85
2022-05-13,4468285,200445479,45.1,44.4,45.05,0.65,2839,1102,44.4
2022-05-16,4793659,215591541,45.25,44.65,44.95,-0.1,3328,1102,45.15
2022-05-17,3966755,178027233,45.35,44.75,44.75,-0.2,1952,1102,45.25
2022-05-18,5015833,223790299,44.75,44.5,44.65,-0.1,3741,1102,44.7
2022-05-19,7277877,317750118,44.25,43.2,43.65,-1.0,4802,1102,44.2
2022-05-20,3965769,173872029,44.05,43.6,44.0,0.35,2483,1102,43.65
2022-05-23,5159293,228064207,44.5,43.65,44.4,0.4,2040,1102,44.3
2022-05-24,3134268,138399472,44.5,43.9,44.0,-0.4,1877,1102,44.1
2022-05-25,4721079,210068265,44.75,44.0,44.75,0.75,2128,1102,44.05
2022-05-26,2727732,121994544,45.0,44.5,44.5,-0.25,1598,1102,44.8
2022-05-27,4055435,182654952,45.2,44.7,45.2,0.7,2404,1102,44.8
2022-05-30,4130878,187965825,45.6,45.3,45.5,0.3,2732,1102,45.3
2022-05-31,7884150,352373962,45.6,44.4,44.4,-1.1,2202,1102,45.45
2022-06-01,2692167,120955660,45.15,44.75,44.8,0.4,1808,1102,44.85
2022-06-02,3610804,160609732,44.85,44.25,44.4,-0.4,2215,1102,44.8
2022-06-06,4426680,196080243,44.6,43.95,44.35,-0.05,2684,1102,44.4
2022-06-07,4536670,200941476,44.75,44.15,44.2,-0.15,2425,1102,44.35
2022-06-08,4666168,208475220,44.85,44.35,44.8,0.6,2586,1102,44.5
2022-06-09,4750658,211388166,44.8,44.3,44.65,-0.15,1921,1102,44.5
2022-06-10,5363479,237424826,44.55,44.15,44.15,-0.5,2638,1102,44.3
2022-06-13,6081626,265639805,43.9,43.5,43.7,-0.45,4259,1102,43.8
2022-06-14,4235603,184770459,43.8,43.5,43.65,-0.05,2274,1102,43.7
2022-06-15,6870437,298026189,43.8,43.2,43.3,-0.35,4220,1102,43.55
2022-06-16,6389566,276645484,43.7,43.1,43.1,-0.2,2953,1102,43.7
2022-06-17,22533433,961653194,43.45,42.1,43.45,0.35,9206,1102,43.0
2022-06-20,17662757,751342533,43.0,42.4,42.4,-1.05,6072,1102,42.9
2022-06-21,16682542,718164599,43.3,42.45,43.05,0.65,3811,1102,42.45
2022-06-22,14386402,624437747,43.6,43.05,43.6,0.55,3504,1102,43.05
2022-06-23,12054747,518269720,44.05,42.65,42.95,-0.65,4279,1102,43.8
2022-06-24,4520840,197538185,44.0,43.2,43.6,0.65,2716,1102,43.7
2022-06-27,3944223,173724109,44.2,43.75,44.0,0.4,2359,1102,43.95
2022-06-28,2922824,127703457,44.0,43.4,43.65,-0.35,1644,1102,44.0
2022-06-29,3501258,153185252,43.95,43.5,43.7,0.05,2159,1102,43.5
2022-06-30,6623433,289927304,44.15,43.5,43.8,0.1,2462,1102,43.95
2022-07-01,10146275,447713042,44.4,43.85,44.2,0.4,3917,1102,43.85
2022-07-04,7737993,340041642,44.3,43.55,43.9,-0.3,4069,1102,44.1
2022-07-05,7602670,336246790,44.4,43.9,44.3,0.4,3530,1102,44.2
2022-07-06,5366489,236685208,44.55,43.85,44.1,-0.2,2460,1102,44.35
2022-07-07,4999329,219811103,44.3,43.75,43.85,-0.25,2617,1102,44.1
2022-07-08,4698097,205719219,44.0,43.6,43.85,0.0,2351,1102,43.8
2022-07-11,2528077,111072005,44.15,43.7,44.05,0.2,1484,1102,43.95
2022-07-12,4977228,217629840,44.0,43.6,43.7,-0.35,2615,1102,43.8
2022-07-13,6363477,280448401,44.25,43.8,44.2,0.5,2522,1102,44.0
2022-07-14,5728739,252533011,44.45,43.6,44.15,-0.05,2316,1102,44.15
2022-07-15,9607409,416681971,44.2,42.9,43.0,-1.15,4459,1102,44.0
2022-07-18,9410074,410136185,43.95,42.7,43.95,0.95,3296,1102,43.3
2022-07-19,12820780,567273461,44.55,43.7,44.1,0.15,4415,1102,43.85
2022-07-20,9913814,437753088,44.4,43.9,44.05,-0.05,2729,1102,44.25
2022-07-21,11351824,502113093,44.5,43.85,44.5,0.45,2853,1102,44.1
2022-07-22,10983902,489644624,44.85,44.25,44.85,0.35,3273,1102,44.5
2022-07-25,12375255,554725360,44.95,44.5,44.9,0.05,2584,1102,44.55
2022-07-26,10770830,481031168,44.75,44.35,44.65,-0.25,2123,1102,44.75
2022-07-27,14595855,649486345,44.65,44.4,44.45,-0.2,3998,1102,44.65
2022-07-28,21948471,899618498,41.2,40.2,40.5,0.0,9104,1102,40.9
2022-07-29,12461261,514247146,41.45,40.8,41.45,0.95,4339,1102,41.0
2022-08-01,6156627,254314986,41.5,41.0,41.35,-0.1,4446,1102,41.45
2022-08-02,6762440,278645193,41.45,40.85,41.4,0.05,3596,1102,41.15
2022-08-03,5117862,211118477,41.45,41.0,41.45,0.05,2660,1102,41.4
2022-08-04,7310848,299598685,41.55,40.7,40.7,-0.75,4226,1102,41.4
2022-08-05,4858636,198658372,41.2,40.7,40.95,0.25,3576,1102,41.15
2022-08-08,2047273,83649527,41.0,40.65,40.9,-0.05,1550,1102,40.95
2022-08-09,2397414,98590103,41.3,40.9,41.25,0.35,1969,1102,40.9
2022-08-10,2929540,120015541,41.1,40.85,41.0,-0.25,1900,1102,41.0
2022-08-11,9180583,383668697,42.3,41.2,42.25,1.25,3261,1102,41.3
2022-08-12,4741337,198874806,42.2,41.7,41.95,-0.3,2718,1102,42.15
2022-08-15,5698590,239768382,42.4,41.85,42.25,0.3,2481,1102,41.95
2022-08-16,6589548,279094193,42.5,42.15,42.4,0.15,2848,1102,42.3
2022-08-17,5303697,225953604,42.8,42.35,42.8,0.4,2958,1102,42.55
2022-08-18,5650328,241262752,42.9,42.5,42.9,0.1,2167,1102,42.75
2022-08-19,4559370,193962587,42.8,42.3,42.6,-0.3,2504,1102,42.8
2022-08-22,3548256,150986173,42.75,42.1,42.75,0.15,1779,1102,42.3
2022-08-23,4118668,174503004,42.55,42.1,42.55,-0.2,1978,1102,42.5
2022-08-24,4970624,210125980,42.5,42.05,42.5,-0.05,2446,1102,42.3
2022-08-25,4846140,205813063,42.8,42.3,42.65,0.15,2895,1102,42.5
2022-08-26,4216601,179901199,42.8,42.45,42.8,0.15,2784,1102,42.7
2022-08-29,5315313,224979751,42.55,42.05,42.45,-0.35,3015,1102,42.3
2022-08-30,4467274,189597672,42.65,42.2,42.45,0.0,2283,1102,42.5
2022-08-31,8772988,376204449,43.25,42.3,43.25,0.8,2505,1102,42.4
2022-09-01,9309653,394966795,42.95,42.25,42.35,-0.9,5226,1102,42.75
2022-09-02,6360059,268956749,42.65,42.1,42.3,-0.05,3532,1102,42.35
2022-09-05,11915686,510029181,43.15,42.45,42.65,0.35,4398,1102,42.55
2022-09-06,13915415,599173699,43.45,42.7,43.45,0.8,4146,1102,43.0
2022-09-07,10027634,436470234,43.9,42.9,43.75,0.3,4722,1102,43.1
2022-09-08,4782005,209984919,44.05,43.75,44.05,0.3,2364,1102,43.9
2022-09-12,5378793,237281675,44.6,43.65,44.1,0.05,3171,1102,44.5
2022-09-13,9327782,413295528,44.5,44.0,44.45,0.35,3760,1102,44.2
2022-09-14,8856272,393596686,44.7,43.85,44.3,-0.15,4063,1102,43.95
2022-09-15,11458440,511912105,44.9,44.1,44.85,0.55,3739,1102,44.45
2022-09-16,18176814,807265750,44.9,44.15,44.2,-0.65,5498,1102,44.3
2022-09-19,9793440,432939887,44.5,44.1,44.1,-0.1,5397,1102,44.2
2022-09-20,11651644,513143135,44.3,43.95,43.95,-0.15,4753,1102,44.15
2022-09-21,13006650,569137670,44.0,43.2,43.85,-0.1,5099,1102,43.8
2022-09-22,13251965,572243909,43.85,42.5,43.85,0.0,5155,1102,43.4
2022-09-23,9138844,389414329,43.35,42.25,42.35,-1.5,4837,1102,43.35
2022-09-26,11510797,475051316,42.1,40.8,40.95,-1.4,5205,1102,42.0
2022-09-27,10776800,440982041,41.7,40.65,40.75,-0.2,3661,1102,41.05
2022-09-28,12607400,506520357,41.15,39.9,39.9,-0.85,4649,1102,40.9
2022-09-29,15475681,617317182,40.4,39.55,40.05,0.15,5755,1102,40.25
2022-09-30,9456824,374569807,40.2,39.35,39.4,-0.65,3964,1102,40.1
2022-10-03,5375765,209827214,39.25,38.85,39.0,-0.4,2690,1102,39.25
2022-10-04,6458544,255240144,39.85,39.25,39.4,0.4,2515,1102,39.25
2022-10-05,6714426,267877241,40.1,39.55,39.8,0.4,2626,1102,39.6
2022-10-06,5021922,201811009,40.35,39.9,40.15,0.35,1918,1102,39.9
2022-10-07,3988817,159939374,40.2,39.9,40.0,-0.15,1830,1102,40.15
2022-10-11,7604672,300867862,39.85,39.3,39.7,-0.3,3104,1102,39.8
2022-10-12,4926655,195506266,39.85,39.5,39.8,0.1,1608,1102,39.6
2022-10-13,5878958,228778969,39.75,38.55,38.7,-1.1,3184,1102,39.75
2022-10-14,5217523,201368004,39.2,38.4,38.45,-0.25,3575,1102,39.15
2022-10-17,11017610,419292290,38.4,37.8,38.0,-0.45,4290,1102,38.4
2022-10-18,11720094,444020505,39.0,37.5,37.7,-0.3,6124,1102,38.75
2022-10-19,7956454,303994481,38.55,37.65,37.95,0.25,4384,1102,37.7
2022-10-20,14680680,544482270,37.8,36.8,37.1,-0.85,5905,1102,37.3
2022-10-21,3155649,118066241,37.85,36.9,37.5,0.4,1346,1102,37.1
2022-10-24,2562644,96423404,38.0,37.3,37.4,-0.1,1591,1102,38.0
2022-10-25,5128642,189556521,37.8,36.6,37.15,-0.25,2692,1102,37.8
2022-10-26,3182189,118965489,37.7,37.0,37.35,0.2,1263,1102,37.05
2022-10-27,5283704,197889149,37.95,37.25,37.25,-0.1,2887,1102,37.5
2022-10-28,3415964,127232665,37.65,37.1,37.1,-0.15,2093,1102,37.65
2022-10-31,3022207,112422189,37.5,36.85,37.3,0.2,1645,1102,37.35
2022-11-01,2759455,102914734,37.6,36.7,37.55,0.25,1488,1102,37.3
2022-11-02,2923767,109686286,37.85,37.35,37.5,-0.05,2255,1102,37.65
